"iWine","Barcode","Location","Bin","Size","Valuation","Price","StoreName","PurchaseDate","BottleNote","Vintage","Wine","Locale","Country","Region","SubRegion","Appellation","Producer","SortProducer","Type","Color","Category","Varietal","MasterVarietal","Designation","Vineyard","WA","WS","IWC","BH","AG","WE","JR","RH","JG","GV","JK","LD","CW","WFW","PR","SJ","WD","RR","JH","MFW","WWR","IWR","CHG","TT","CT","MY","BeginConsume","EndConsume"
"1158416","28264510","Cellar","C17","750ml","32.503","0","Winery","6/25/2011","","2009","Alexandria Nicole Grenache Destiny Ridge Vineyards","USA, Washington, Columbia Valley, Horse Heaven Hills","USA","Washington","Columbia Valley","Horse Heaven Hills","Alexandria Nicole","Alexandria Nicole","Red","Red","Dry","Grenache","Grenache","Unknown","Destiny Ridge Vineyards","","","","","","","","","","","","","","","","","","","","","","","","","87.9","","2011","2015"
"1859745","56389908","Cellar","C17","750ml","39.5","33.6","Winery","6/28/2014","","2012","Alexandria Nicole Grenache Purple Reign Destiny Ridge Vineyards","USA, Washington, Columbia Valley, Horse Heaven Hills","USA","Washington","Columbia Valley","Horse Heaven Hills","Alexandria Nicole","Alexandria Nicole","Red","Red","Dry","Grenache","Grenache","Purple Reign","Destiny Ridge Vineyards","","","","","","","","","","","","","","","","","","","","","","","","","","","2015","2017"
"2064442","71164264","Cellar","D01-02","750ml","51.2444","45","Winery","12/5/2015","","2013","Mark Ryan Cabernet Sauvignon Dead Horse","USA, Washington, Columbia Valley, Red Mountain","USA","Washington","Columbia Valley","Red Mountain","Mark Ryan","Mark Ryan","Red","Red","Dry","Cabernet Sauvignon","Cabernet Sauvignon","Dead Horse","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","90.75","","2018","2025"
"2064442","71164265","Cellar","D01-02","750ml","51.2444","45","Winery","12/5/2015","","2013","Mark Ryan Cabernet Sauvignon Dead Horse","USA, Washington, Columbia Valley, Red Mountain","USA","Washington","Columbia Valley","Red Mountain","Mark Ryan","Mark Ryan","Red","Red","Dry","Cabernet Sauvignon","Cabernet Sauvignon","Dead Horse","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","90.75","","2018","2025"
"2064442","71164266","Cellar","D01-02","750ml","51.2444","45","Winery","12/5/2015","","2013","Mark Ryan Cabernet Sauvignon Dead Horse","USA, Washington, Columbia Valley, Red Mountain","USA","Washington","Columbia Valley","Red Mountain","Mark Ryan","Mark Ryan","Red","Red","Dry","Cabernet Sauvignon","Cabernet Sauvignon","Dead Horse","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","90.75","","2018","2025"
"1940452","60216003","Cellar","D03","750ml","50.892","46.75","Winery","11/22/2014","","2012","Alexandria Nicole Tempranillo Big Shot Destiny Ridge Vineyards","USA, Washington, Columbia Valley, Horse Heaven Hills","USA","Washington","Columbia Valley","Horse Heaven Hills","Alexandria Nicole","Alexandria Nicole","Red","Red","Dry","Tempranillo","Tempranillo","Big Shot","Destiny Ridge Vineyards","","","","","","","","","","","","","","","","","","","","","","","","","87","","2014","2016"
"1476060","44717284","Cellar","D03","750ml","49.5034","44","Winery","3/17/2013","","2010","Alexandria Nicole Tempranillo Destiny Ridge Vineyards","USA, Washington, Columbia Valley, Horse Heaven Hills","USA","Washington","Columbia Valley","Horse Heaven Hills","Alexandria Nicole","Alexandria Nicole","Red","Red","Dry","Tempranillo","Tempranillo","Unknown","Destiny Ridge Vineyards","","","","","","","","","","","","","","","","","","","","","","","","","88.375","","2013","2016"
"1555403","44717319","Cellar","D04","750ml","35.5567","30.4","Winery","3/17/2013","","2010","Alexandria Nicole Malbec Block 20 Estate Grown Destiny Ridge Vineyards","USA, Washington, Columbia Valley, Horse Heaven Hills","USA","Washington","Columbia Valley","Horse Heaven Hills","Alexandria Nicole","Alexandria Nicole","Red","Red","Dry","Malbec","Malbec","Block 20 Estate Grown","Destiny Ridge Vineyards","","","","","","","","","","","","","","","","","","","","","","","","","87","","2013","2016"
"1789949","54319275","Cellar","D04","750ml","40.527","35.7","Winery","3/29/2014","","2011","Alexandria Nicole Malbec Block 20 Estate Grown Destiny Ridge Vineyards","USA, Washington, Columbia Valley, Horse Heaven Hills","USA","Washington","Columbia Valley","Horse Heaven Hills","Alexandria Nicole","Alexandria Nicole","Red","Red","Dry","Malbec","Malbec","Block 20 Estate Grown","Destiny Ridge Vineyards","","","","","","","","","","","","","","","","","","","","","","","","","88","","2015","2018"
"2028257","62946802","Cellar","D05","750ml","38.1818","33.6","Winery","2/28/2015","","2012","Alexandria Nicole Malbec Destiny Ridge Vineyards","USA, Washington, Columbia Valley, Horse Heaven Hills","USA","Washington","Columbia Valley","Horse Heaven Hills","Alexandria Nicole","Alexandria Nicole","Red","Red","Dry","Malbec","Malbec","Unknown","Destiny Ridge Vineyards","","","","","","","","","","","","","","","","","","","","","","","","","","","2015","2015"
"1635250","47484988","Cellar","D06","750ml","30.6507","25.6","Winery","7/5/2013","","2011","Alexandria Nicole Lemberger Destiny Ridge Vineyards","USA, Washington, Columbia Valley, Horse Heaven Hills","USA","Washington","Columbia Valley","Horse Heaven Hills","Alexandria Nicole","Alexandria Nicole","Red","Red","Dry","Lemberger","Blaufränkisch","Unknown","Destiny Ridge Vineyards","","","","","","","","","","","","","","","","","","","","","","","","","87","","2014","2016"
"1859744","56389973","Cellar","D06","750ml","30.6285","25.6","Winery","6/28/2014","","2012","Alexandria Nicole Lemberger Destiny Ridge Vineyards","USA, Washington, Columbia Valley, Horse Heaven Hills","USA","Washington","Columbia Valley","Horse Heaven Hills","Alexandria Nicole","Alexandria Nicole","Red","Red","Dry","Lemberger","Blaufränkisch","Unknown","Destiny Ridge Vineyards","","","","","","","","","","","","","","","","","","","","","","","","","87.5","","2014","2016"
"1941152","60216084","Cellar","D07","750ml","35.28","32.3","Winery","11/22/2014","","2012","Alexandria Nicole Counoise Destiny Ridge Vineyards","USA, Washington, Columbia Valley, Horse Heaven Hills","USA","Washington","Columbia Valley","Horse Heaven Hills","Alexandria Nicole","Alexandria Nicole","Red","Red","Dry","Counoise","Counoise","Unknown","Destiny Ridge Vineyards","","","","","","","","","","","","","","","","","","","","","","","","","89.5","","2015","2017"
"2173305","69554733","Cellar","D08,E12","750ml","44.362","44","Winery","11/1/2015","","2012","Fidelitas Red Wine Ciel du Cheval Vineyard","USA, Washington, Columbia Valley, Red Mountain","USA","Washington","Columbia Valley","Red Mountain","Fidelitas","Fidelitas","Red","Red","Dry","Red Bordeaux Blend","Red Bordeaux Blend","Red Wine","Ciel du Cheval Vineyard","","","","","","","","","","","","","","","","","","","","","","","","","92","","2016","2025"
"2173305","69554734","Cellar","D08,E12","750ml","44.362","44","Winery","11/1/2015","","2012","Fidelitas Red Wine Ciel du Cheval Vineyard","USA, Washington, Columbia Valley, Red Mountain","USA","Washington","Columbia Valley","Red Mountain","Fidelitas","Fidelitas","Red","Red","Dry","Red Bordeaux Blend","Red Bordeaux Blend","Red Wine","Ciel du Cheval Vineyard","","","","","","","","","","","","","","","","","","","","","","","","","92","","2016","2025"
"2140079","71164267","Cellar","D09-10","750ml","47.7515","49.5","Winery","12/5/2015","","2013","Mark Ryan Long Haul","USA, Washington, Columbia Valley, Red Mountain","USA","Washington","Columbia Valley","Red Mountain","Mark Ryan","Mark Ryan","Red","Red","Dry","Red Bordeaux Blend","Red Bordeaux Blend","Long Haul","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","92.1428571428571","","2018","2030"
"2140079","71164268","Cellar","D09-10","750ml","47.7515","49.5","Winery","12/5/2015","","2013","Mark Ryan Long Haul","USA, Washington, Columbia Valley, Red Mountain","USA","Washington","Columbia Valley","Red Mountain","Mark Ryan","Mark Ryan","Red","Red","Dry","Red Bordeaux Blend","Red Bordeaux Blend","Long Haul","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","92.1428571428571","","2018","2030"
"2140079","71164269","Cellar","D09-10","750ml","47.7515","49.5","Winery","12/5/2015","","2013","Mark Ryan Long Haul","USA, Washington, Columbia Valley, Red Mountain","USA","Washington","Columbia Valley","Red Mountain","Mark Ryan","Mark Ryan","Red","Red","Dry","Red Bordeaux Blend","Red Bordeaux Blend","Long Haul","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","92.1428571428571","","2018","2030"
"2207488","71164439","Cellar","D11","750ml","44.3383","40","Winery","12/6/2015","","2013","Pepper Bridge Merlot","USA, Washington, Columbia Valley, Walla Walla Valley","USA","Washington","Columbia Valley","Walla Walla Valley","Pepper Bridge","Pepper Bridge","Red","Red","Dry","Merlot","Merlot","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","92.25","","2015","2021"
"2207488","71164440","Cellar","D11","750ml","44.3383","40","Winery","12/6/2015","","2013","Pepper Bridge Merlot","USA, Washington, Columbia Valley, Walla Walla Valley","USA","Washington","Columbia Valley","Walla Walla Valley","Pepper Bridge","Pepper Bridge","Red","Red","Dry","Merlot","Merlot","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","92.25","","2015","2021"
"909856","20802534","Cellar","D12","750ml","35.7117","0","Unknown","6/13/2010","","2008","Alexandria Nicole Primitivo Destiny Ridge Vineyards","USA, Washington, Columbia Valley, Horse Heaven Hills","USA","Washington","Columbia Valley","Horse Heaven Hills","Alexandria Nicole","Alexandria Nicole","Red","Red","Dry","Primitivo","Zinfandel","Unknown","Destiny Ridge Vineyards","","","","","","","","","","","","","","","","","","","","","","","","","88.9090909090909","","2010","2012"
"1158418","28264521","Cellar","D12","750ml","35.2433","0","Winery","6/25/2011","","2009","Alexandria Nicole Primitivo Destiny Ridge Vineyards","USA, Washington, Columbia Valley, Horse Heaven Hills","USA","Washington","Columbia Valley","Horse Heaven Hills","Alexandria Nicole","Alexandria Nicole","Red","Red","Dry","Primitivo","Zinfandel","Unknown","Destiny Ridge Vineyards","","","","","","","","","","","","","","","","","","","","","","","","","89.625","","2012","2015"
"2044958","71164705","Cellar","D13","750ml","43.2857","40","Winery","12/5/2015","","2012","Spring Valley Vineyard Derby","USA, Washington, Columbia Valley, Walla Walla Valley","USA","Washington","Columbia Valley","Walla Walla Valley","Spring Valley Vineyard","Spring Valley Vineyard","Red","Red","Dry","Red Blend","Red Blend","Derby","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","2015","2019"
"1124564","71165162","Cellar","D14","750ml","37.1636","38","Winery","12/5/2015","","2009","Mackey Concordia","USA, Washington, Columbia Valley, Walla Walla Valley","USA","Washington","Columbia Valley","Walla Walla Valley","Mackey","Mackey","Red","Red","Dry","Red Rhone Blend","Red Rhone Blend","Concordia","Unknown","","","","","","","","","","","","","","","","","","93","","","****","","","","90.3846153846154","","2014","2019"
"1502329","71165164","Cellar","D15","750ml","32.4117","32","Winery","12/5/2015","","2009","Mackey Syrah","USA, Washington, Columbia Valley, Walla Walla Valley","USA","Washington","Columbia Valley","Walla Walla Valley","Mackey","Mackey","Red","Red","Dry","Syrah","Syrah","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","****","","","","88.75","","2014","2019"
"1713898","50091228","Cellar","D16","750ml","41.5864","38.25","Winery","10/26/2013","","2011","Alexandria Nicole Petite Sirah Mr. Big Destiny Ridge Vineyards","USA, Washington, Columbia Valley, Horse Heaven Hills","USA","Washington","Columbia Valley","Horse Heaven Hills","Alexandria Nicole","Alexandria Nicole","Red","Red","Dry","Petite Sirah","Petite Sirah","Mr. Big","Destiny Ridge Vineyards","","","","","","","","","","","","","","","","","","","","","","","","","89.6666666666667","","2014","2018"
"2031383","62946804","Cellar","D16","750ml","40.221","36","Winery","2/28/2015","","2012","Alexandria Nicole Petite Sirah Mr. Big Destiny Ridge Vineyards","USA, Washington, Columbia Valley, Horse Heaven Hills","USA","Washington","Columbia Valley","Horse Heaven Hills","Alexandria Nicole","Alexandria Nicole","Red","Red","Dry","Petite Sirah","Petite Sirah","Mr. Big","Destiny Ridge Vineyards","","","","","","","","","","","","","","","","","","","","","","","","","90","","2015","2015"
"1477697","41618098","Cellar","D17","750ml","42.0945","45","Winery","12/6/2012","","2010","Alexandria Nicole Petite Sirah Mr. Big Destiny Ridge Vineyards","USA, Washington, Columbia Valley, Horse Heaven Hills","USA","Washington","Columbia Valley","Horse Heaven Hills","Alexandria Nicole","Alexandria Nicole","Red","Red","Dry","Petite Sirah","Petite Sirah","Mr. Big","Destiny Ridge Vineyards","","","","","","","","","","","","","","","","","","","","","","","","","89.5","","2013","2017"
"1549474","47484989","Cellar","E01","750ml","38.5416","33.6","Winery","7/5/2013","","2011","Alexandria Nicole Rock Star Red Destiny Ridge Vineyards","USA, Washington, Columbia Valley, Horse Heaven Hills","USA","Washington","Columbia Valley","Horse Heaven Hills","Alexandria Nicole","Alexandria Nicole","Red","Red","Dry","Red Rhone Blend","Red Rhone Blend","Rock Star Red","Destiny Ridge Vineyards","","","","","","","","","","","","","","","","","","","","","","","","","90.6666666666667","","2014","2017"
"2182136","71165230","Cellar","E03","750ml","33.5897","35","Winery","12/5/2015","","2013","Rasa Vineyards Cabernet Franc QED Axiom of Choice","USA, Washington, Columbia Valley, Walla Walla Valley","USA","Washington","Columbia Valley","Walla Walla Valley","Rasa Vineyards","Rasa Vineyards","Red","Red","Dry","Cabernet Franc","Cabernet Franc","QED Axiom of Choice","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","2023"
"1450529","41618145","Cellar","E04","750ml","44.3786","48","Winery","12/6/2012","","2009","Alexandria Nicole Destiny Red Table Wine Destiny Ridge Vineyards","USA, Washington, Columbia Valley, Horse Heaven Hills","USA","Washington","Columbia Valley","Horse Heaven Hills","Alexandria Nicole","Alexandria Nicole","Red","Red","Dry","Red Bordeaux Blend","Red Bordeaux Blend","Destiny Red Table Wine","Destiny Ridge Vineyards","","","","","","","","","","","","","","","","","","","","","","","","","90.375","","2013","2018"
"2254992","71165390","Cellar","E05","750ml","63.1866","0","Winery","12/5/2015","","2012","Garrison Creek Cellars Merlot","USA, Washington, Columbia Valley, Walla Walla Valley","USA","Washington","Columbia Valley","Walla Walla Valley","Garrison Creek Cellars","Garrison Creek Cellars","Red","Red","Dry","Merlot","Merlot","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1713908","50091292","Cellar","E06","750ml","44.5379","40.8","Winery","10/26/2013","","2010","Alexandria Nicole Destiny Red Table Wine Destiny Ridge Vineyards","USA, Washington, Columbia Valley, Horse Heaven Hills","USA","Washington","Columbia Valley","Horse Heaven Hills","Alexandria Nicole","Alexandria Nicole","Red","Red","Dry","Red Bordeaux Blend","Red Bordeaux Blend","Destiny Red Table Wine","Destiny Ridge Vineyards","","","","","","","","","","","","","","","","","","","","","","","","","90.2222222222222","","2014","2015"
"1940451","60215958","Cellar","E06","750ml","44.24","40.8","Winery","11/22/2014","","2011","Alexandria Nicole Destiny Red Table Wine Destiny Ridge Vineyards","USA, Washington, Columbia Valley, Horse Heaven Hills","USA","Washington","Columbia Valley","Horse Heaven Hills","Alexandria Nicole","Alexandria Nicole","Red","Red","Dry","Red Bordeaux Blend","Red Bordeaux Blend","Destiny Red Table Wine","Destiny Ridge Vineyards","","","","","","","","","","","","","","","","","","","","","","","","","90.6666666666667","","2014","2015"
"1210897","41618068","Cellar","E07","750ml","41.7867","45","Winery","12/6/2012","","2010","Alexandria Nicole Member's Only Destiny Ridge Vineyards","USA, Washington, Columbia Valley, Horse Heaven Hills","USA","Washington","Columbia Valley","Horse Heaven Hills","Alexandria Nicole","Alexandria Nicole","Red","Red","Dry","Red Rhone Blend","Red Rhone Blend","Member's Only","Destiny Ridge Vineyards","","","","","","","","","","","","","","","","","","","","","","","","","90.7","","2013","2016"
"2023812","71165646","Cellar","E08","750ml","43.2187","45","Winery","12/5/2015","","2013","Buty Merlot/Cabernet Franc Conner Lee Vineyard","USA, Washington, Columbia Valley","USA","Washington","Columbia Valley","Columbia Valley","Buty","Buty","Red","Red","Dry","Red Bordeaux Blend","Red Bordeaux Blend","Merlot/Cabernet Franc","Conner Lee Vineyard","","","","","","","","","","","","","","","","","","","","","","","","","91","","2016","2020"
"1713893","50091341","Cellar","E09","750ml","42.068","38.25","Winery","10/26/2013","","2011","Alexandria Nicole Member's Only Destiny Ridge Vineyards","USA, Washington, Columbia Valley, Horse Heaven Hills","USA","Washington","Columbia Valley","Horse Heaven Hills","Alexandria Nicole","Alexandria Nicole","Red","Red","Dry","Red Rhone Blend","Red Rhone Blend","Member's Only","Destiny Ridge Vineyards","","","","","","","","","","","","","","","","","","","","","","","","","89","","2013","2017"
"2028260","62946803","Cellar","E09","750ml","41.2634","36","Winery","2/28/2015","","2012","Alexandria Nicole Member's Only Destiny Ridge Vineyards","USA, Washington, Columbia Valley, Horse Heaven Hills","USA","Washington","Columbia Valley","Horse Heaven Hills","Alexandria Nicole","Alexandria Nicole","Red","Red","Dry","Red Rhone Blend","Red Rhone Blend","Member's Only","Destiny Ridge Vineyards","","","","","","","","","","","","","","","","","","","","","","","","","88","","2015","2015"
"1746950","54319351","Cellar","E10","750ml","43.0444","35.7","Winery","3/29/2014","","2011","Alexandria Nicole Carménère Sergeant Pepper Destiny Ridge Vineyards","USA, Washington, Columbia Valley, Horse Heaven Hills","USA","Washington","Columbia Valley","Horse Heaven Hills","Alexandria Nicole","Alexandria Nicole","Red","Red","Dry","Carménère","Carménère","Sergeant Pepper","Destiny Ridge Vineyards","","","","","","","","","","","","","","","","","","","","","","","","","89","","2015","2016"
"2028256","62946796","Cellar","E10","750ml","41.1578","36","Winery","2/28/2015","","2012","Alexandria Nicole Carménère Sergeant Pepper Destiny Ridge Vineyards","USA, Washington, Columbia Valley, Horse Heaven Hills","USA","Washington","Columbia Valley","Horse Heaven Hills","Alexandria Nicole","Alexandria Nicole","Red","Red","Dry","Carménère","Carménère","Sergeant Pepper","Destiny Ridge Vineyards","","","","","","","","","","","","","","","","","","","","","","","","","88.25","","2015","2015"
"1806550","60652567","Cellar","E11","750ml","39.8685","42","Winery","12/7/2014","","2011","Gramercy Cellars Tempranillo Inigo Montoya","USA, Washington, Columbia Valley, Walla Walla Valley","USA","Washington","Columbia Valley","Walla Walla Valley","Gramercy Cellars","Gramercy Cellars","Red","Red","Dry","Tempranillo","Tempranillo","Inigo Montoya","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","89.6842105263158","","2015","2021"
"1891906","60215622","Cellar","E13","750ml","35.2569","35","Winery","11/22/2014","","2011","Darby CHAOS","USA, Washington, Columbia Valley","USA","Washington","Columbia Valley","Columbia Valley","Darby","Darby","Red","Red","Dry","Red Blend","Red Blend","CHAOS","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","91.5","","2013","2025"
"1841338","50091535","Cellar","E14","750ml","36.8","37","Winery","10/26/2013","","2010","Guardian Cellars The Wanted","USA, Washington, Columbia Valley","USA","Washington","Columbia Valley","Columbia Valley","Guardian Cellars","Guardian Cellars","Red","Red","Dry","Red Bordeaux Blend","Red Bordeaux Blend","The Wanted","Unknown","","","","","","","","","","","","","","","","","","","","","****","","","","89.75","","2014","2019"
"1513122","41617709","Cellar","E15","750ml","0","0","Winery","12/6/2012","purchased in NZ","2010","Mt Rosa Pinot Noir Reserve","New Zealand, South Island, Otago, Central Otago","New Zealand","South Island","Otago","Central Otago","Mt Rosa","Mt Rosa","Red","Red","Dry","Pinot Noir","Pinot Noir","Reserve","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1501944","54319158","Cellar","E16","750ml","29.2503","34","Winery","3/29/2014","","2009","Brian Carter Cellars Tuttorosso","USA, Washington, Columbia Valley, Yakima Valley","USA","Washington","Columbia Valley","Yakima Valley","Brian Carter Cellars","Brian Carter Cellars","Red","Red","Dry","SuperTuscan Blend","SuperTuscan Blend","Tuttorosso","Unknown","","","","","","","","","","","","","","","","","","","","","*** 1/2","","","","88.4545454545455","","2014","2016"
"1937408","60652898","Cellar","E17","750ml","51.7272","55","Winery","12/7/2014","","2012","Long Shadows Wineries Syrah Sequel","USA, Washington, Columbia Valley","USA","Washington","Columbia Valley","Columbia Valley","Long Shadows Wineries","Long Shadows Wineries","Red","Red","Dry","Syrah","Syrah","Sequel","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","90.4","","2015","2020"
"1679016","59487566","Cellar","F01","750ml","28.3333","40","Winery","11/2/2014","","2010","Kason Vineyards Pinot Noir Old Vine Reserve","USA, Oregon, Willamette Valley, Dundee Hills","USA","Oregon","Willamette Valley","Dundee Hills","Kason Vineyards","Kason Vineyards","Red","Red","Dry","Pinot Noir","Pinot Noir","Old Vine Reserve","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1578902","44547784","Cellar","F02","750ml","33.1571","30","Winery","3/10/2013","","2010","Ardiri Pinot Noir Due Stati","USA, American","USA","American","Unknown","American","Ardiri","Ardiri","Red","Red","Dry","Pinot Noir","Pinot Noir","Due Stati","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","88","","2013","2017"
"1831239","67390706","Cellar","F03","750ml","34.2414","0","Winery","8/15/2015","","2012","Mark Ryan The Dissident","USA, Washington, Columbia Valley","USA","Washington","Columbia Valley","Columbia Valley","Mark Ryan","Mark Ryan","Red","Red","Dry","Red Blend","Red Blend","The Dissident","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","89.9393939393939","","2015","2022"
"1430273","44716787","Cellar","F04","750ml","32.0747","32","Winery","3/17/2013","","2010","Darby CHAOS","USA, Washington, Columbia Valley","USA","Washington","Columbia Valley","Columbia Valley","Darby","Darby","Red","Red","Dry","Red Blend","Red Blend","CHAOS","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","89.551724137931","","2012","2016"
"1430273","50091188","Cellar","F04","750ml","32.0747","32","Winery","10/26/2013","","2010","Darby CHAOS","USA, Washington, Columbia Valley","USA","Washington","Columbia Valley","Columbia Valley","Darby","Darby","Red","Red","Dry","Red Blend","Red Blend","CHAOS","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","89.551724137931","","2012","2016"
"1713936","52318240","Cellar","F05","750ml","26.625","25.5","Winery","1/11/2014","","2009","Kramer Vineyards Carmine","USA, Oregon, Willamette Valley","USA","Oregon","Willamette Valley","Willamette Valley","Kramer Vineyards","Kramer Vineyards","Red","Red","Dry","Carmine","Carmine","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","85","","2013","2017"
"227449","20376767","Cellar","F06","750ml","18.1488","0","Unknown","5/16/2010","","2005","Château Côte de Baleau","France, Bordeaux, Libournais, St. Émilion Grand Cru","France","Bordeaux","Libournais","St. Émilion Grand Cru","Château Côte de Baleau","Côte de Baleau, Château ","Red","Red","Dry","Red Bordeaux Blend","Red Bordeaux Blend","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","88.6031746031746","","2011","2019"
"360862","20377441","Cellar","F07","750ml","32.6495","0","Wine Library","5/16/2010","","2006","Château Sansonnet","France, Bordeaux, Libournais, St. Émilion Grand Cru","France","Bordeaux","Libournais","St. Émilion Grand Cru","Château Sansonnet","Sansonnet, Château ","Red","Red","Dry","Red Bordeaux Blend","Red Bordeaux Blend","Unknown","Unknown","","","","","","","","","","90","","","","","","","","","","","","","","","88.2307692307692","","2012","2018"
"360862","20377442","Cellar","F07","750ml","32.6495","0","Wine Library","5/16/2010","","2006","Château Sansonnet","France, Bordeaux, Libournais, St. Émilion Grand Cru","France","Bordeaux","Libournais","St. Émilion Grand Cru","Château Sansonnet","Sansonnet, Château ","Red","Red","Dry","Red Bordeaux Blend","Red Bordeaux Blend","Unknown","Unknown","","","","","","","","","","90","","","","","","","","","","","","","","","88.2307692307692","","2012","2018"
"769592","20367500","Cellar","F08","750ml","20.5833","0","StoryTeller Wine","5/15/2010","","2007","Benjamin Leroux Auxey-Duresses","France, Burgundy, Côte de Beaune, Auxey-Duresses","France","Burgundy","Côte de Beaune","Auxey-Duresses","Benjamin Leroux","Leroux, Benjamin ","White","White","Dry","Chardonnay","Chardonnay","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","89.5714285714286","","2011","2015"
"769592","20367501","Cellar","F08","750ml","20.5833","0","StoryTeller Wine","5/15/2010","","2007","Benjamin Leroux Auxey-Duresses","France, Burgundy, Côte de Beaune, Auxey-Duresses","France","Burgundy","Côte de Beaune","Auxey-Duresses","Benjamin Leroux","Leroux, Benjamin ","White","White","Dry","Chardonnay","Chardonnay","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","89.5714285714286","","2011","2015"
"612018","20367492","Cellar","F09","750ml","23.5633","0","Unknown","5/15/2010","","2006","Domaine Lucien Boillot et Fils Bourgogne","France, Burgundy, Bourgogne","France","Burgundy","Unknown","Bourgogne","Domaine Lucien Boillot et Fils","Boillot et Fils, Domaine Lucien ","Red","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","84.6666666666667","","2008","2014"
"790142","24657588","Cellar","F10","750ml","46.8066","34","Wine Library","1/10/2011","","2005","Château Puech-Haut Coteaux du Languedoc Pic St. Loup Clos du Pic","France, Languedoc Roussillon, Languedoc, Coteaux du Languedoc Pic St. Loup","France","Languedoc Roussillon","Languedoc","Coteaux du Languedoc Pic St. Loup","Château Puech-Haut","Puech-Haut, Château ","Red","Red","Dry","Syrah Blend","Syrah","Clos du Pic","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","89.25","","2010","2020"
"790142","24657589","Cellar","F10","750ml","46.8066","34","Wine Library","1/10/2011","","2005","Château Puech-Haut Coteaux du Languedoc Pic St. Loup Clos du Pic","France, Languedoc Roussillon, Languedoc, Coteaux du Languedoc Pic St. Loup","France","Languedoc Roussillon","Languedoc","Coteaux du Languedoc Pic St. Loup","Château Puech-Haut","Puech-Haut, Château ","Red","Red","Dry","Syrah Blend","Syrah","Clos du Pic","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","89.25","","2010","2020"
"357890","20420189","Cellar","F11","750ml","31.6842","0","Unknown","5/18/2010","","2006","Clos Saint Jean Châteauneuf-du-Pape","France, Rhône, Southern Rhône, Châteauneuf-du-Pape","France","Rhône","Southern Rhône","Châteauneuf-du-Pape","Clos Saint Jean","Clos Saint Jean","Red","Red","Dry","Red Rhone Blend","Red Rhone Blend","Unknown","Unknown","","","","","","","","","","","","","","","","","","91","","","","","","","90.0454545454545","","2010","2018"
"476184","20656209","Cellar","F12","750ml","65","0","Wine Library","6/2/2010","","2006","Patrick Lesec Châteauneuf-du-Pape Cuvée Bargeton","France, Rhône, Southern Rhône, Châteauneuf-du-Pape","France","Rhône","Southern Rhône","Châteauneuf-du-Pape","Patrick Lesec","Lesec, Patrick ","Red","Red","Dry","Red Rhone Blend","Red Rhone Blend","Cuvée Bargeton","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","90.4428571428571","","2012","2023"
"476184","20656210","Cellar","F12","750ml","65","0","Wine Library","6/2/2010","","2006","Patrick Lesec Châteauneuf-du-Pape Cuvée Bargeton","France, Rhône, Southern Rhône, Châteauneuf-du-Pape","France","Rhône","Southern Rhône","Châteauneuf-du-Pape","Patrick Lesec","Lesec, Patrick ","Red","Red","Dry","Red Rhone Blend","Red Rhone Blend","Cuvée Bargeton","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","90.4428571428571","","2012","2023"
"2213381","71165851","Cellar","F13","750ml","59.997","65","Winery","12/5/2015","","2013","Long Shadows Wineries Cabernet Sauvignon Feather","USA, Washington, Columbia Valley","USA","Washington","Columbia Valley","Columbia Valley","Long Shadows Wineries","Long Shadows Wineries","Red","Red","Dry","Cabernet Sauvignon","Cabernet Sauvignon","Feather","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","93","","2021","2028"
